"","Sales_Rep","Business","Age","Female","Years","College","Certficates","Feedback","Salary","NPS","Diplomat","Explorer","Sentinel","Analyst"
"1",1,0,59,1,2,1,1,2.01,70200,5,1,0,0,0
"2",2,0,52,0,10,1,4,3.64,133000,10,1,0,0,0
"4",4,0,61,0,2,1,3,2.7,96000,6,1,0,0,0
"6",6,0,28,0,6,1,1,2.43,60000,6,0,1,0,0
"8",8,0,51,1,10,0,0,2.15,43800,5,0,1,0,0
"9",9,0,34,0,4,1,2,2.91,92000,7,1,0,0,0
"10",10,0,38,1,1,1,5,1.23,73400,6,0,1,0,0
"12",12,0,41,1,1,1,1,2.26,51800,5,0,0,1,0
"13",13,0,40,0,1,0,4,3.6,116000,9,1,0,0,0
"15",15,0,46,1,2,1,1,4,61800,5,0,0,0,1
"16",16,0,38,1,4,1,1,2.37,57400,4,1,0,0,0
"18",18,0,52,1,1,0,0,2.72,50600,4,0,0,1,0
"20",20,0,24,0,1,1,1,2.66,39000,3,0,0,0,1
"22",22,0,37,1,1,1,2,3.71,96600,9,1,0,0,0
"24",24,0,33,0,2,1,1,1.16,60000,4,0,1,0,0
"27",27,0,58,1,2,1,4,3.54,73400,7,0,1,0,0
"31",31,0,62,0,7,1,5,2.6,80000,6,1,0,0,0
"33",33,0,42,1,2,1,5,2.15,78600,8,1,0,0,0
"39",39,0,40,0,2,1,5,3.64,137000,9,0,1,0,0
"41",41,0,43,0,2,1,3,1.63,70000,7,1,0,0,0
"44",44,0,59,0,6,1,1,4,97000,10,0,1,0,0
"48",48,0,38,0,3,0,2,1.85,77000,3,0,1,0,0
"49",49,0,65,1,1,0,2,2.84,41000,3,1,0,0,0
"52",52,0,39,0,2,0,3,1.95,67000,5,1,0,0,0
"54",54,0,50,0,8,1,1,3.13,81000,6,0,1,0,0
"55",55,0,39,0,2,1,4,4,78000,8,0,0,1,0
"62",62,0,34,1,1,1,0,3.15,54200,6,0,0,0,1
"64",64,0,28,0,4,1,3,3.03,60000,4,1,0,0,0
"68",68,0,63,0,3,1,5,2.14,76000,5,0,1,0,0
"69",69,0,54,1,1,1,3,2.74,96200,7,0,1,0,0
"72",72,0,52,0,2,1,4,1.21,84000,4,0,0,0,1
"73",73,0,36,1,3,1,1,2.35,55800,3,1,0,0,0
"74",74,0,28,0,1,1,2,4,72000,8,0,1,0,0
"75",75,0,55,0,2,1,6,1.31,93000,10,0,1,0,0
"78",78,0,56,0,1,0,2,2.42,60000,5,0,1,0,0
"80",80,0,65,0,1,1,3,2.16,71000,5,0,0,1,0
